,id,latitude,longitude,price,days_occupied_in_2019,minimum_nights,number_of_reviews,reviews_per_month,availability_2020,clusters,cluster
11064,27529564,40.80907,-73.94444,60,316,1,61,4.03,35,0,pink
11065,16585605,40.81847,-73.93957,50,319,1,135,4.03,40,2,dark purple
11066,23363336,40.7975,-73.93556,60,321,1,88,4.06,0,0,pink
11067,25011804,40.79844,-73.94747,125,324,1,100,5.83,0,0,pink
11068,1164111,40.79025,-73.9488,89,331,1,277,3.48,84,1,purple
11069,5806273,40.8261,-73.95139,65,347,1,183,3.23,0,1,purple
11070,21582010,40.78704,-73.94209,90,351,1,23,0.92,0,0,pink
11071,22496369,40.82645,-73.94984,60,352,1,56,2.4,279,0,pink
11072,29131447,40.79055,-73.94867,85,360,1,6,0.43,0,0,pink
11073,28680576,40.79368,-73.93492,95,362,1,70,4.77,6,0,pink
11074,24397824,40.80385,-73.96499,88,362,1,21,1.2,20,0,pink
11075,25668516,40.75407,-73.99528,99,2,1,10,0.57,354,0,pink
11076,25278711,40.75541,-73.99502,99,4,1,9,0.52,305,0,pink
11077,29827403,40.75988,-73.99123,135,6,1,70,5.33,0,0,pink
11078,26895163,40.75377,-73.99509,99,6,1,9,0.75,356,0,pink
11079,29611144,40.75389,-73.99518,99,6,1,7,0.57,359,0,pink
11080,27804120,40.75393,-73.99633,99,9,1,2,0.15,360,0,pink
11081,25426171,40.7551,-73.99651,99,11,1,11,0.74,350,0,pink
11082,26415648,40.75564,-73.99564,99,12,1,12,0.93,346,0,pink
11083,21901156,40.75656,-73.99063,120,15,1,109,4.68,0,0,pink
11084,29107308,40.76129,-73.9943,250,16,1,4,0.28,352,0,pink
11085,25666271,40.75374,-73.99517,99,18,1,11,0.69,356,0,pink
11086,21227721,40.7613,-73.99155,155,22,1,72,2.73,338,2,dark purple
11087,6799692,40.7618,-73.99093,255,26,1,216,3.99,340,1,purple
11088,20942873,40.76888,-73.98639,134,27,1,1,0.07,319,2,dark purple
11089,6800277,40.76185,-73.99126,155,60,1,204,3.78,327,1,purple
11090,8881253,40.76374,-73.99422,130,70,1,77,1.8,274,1,purple
11091,4152752,40.76444,-73.98965,103,82,1,425,6.75,289,1,purple
11092,21867710,40.75668,-73.99097,120,105,1,89,4.0,0,0,pink
11093,15745528,40.76028,-73.98846,92,127,1,164,4.35,188,2,dark purple
11094,27279645,40.76037,-73.9917,110,195,1,83,5.16,254,0,pink
11095,26776816,40.75998,-73.98952,110,195,1,95,5.83,260,0,pink
11096,18283511,40.766,-73.98945,99,200,1,160,4.99,160,2,dark purple
11097,27280189,40.75981,-73.99011,105,200,1,117,7.16,256,0,pink
11098,22322326,40.76384,-73.99309,65,201,1,16,1.73,166,0,pink
11099,21065293,40.76583,-73.98669,86,201,1,180,6.78,168,2,dark purple
11100,10023629,40.76458,-73.99007,93,210,1,57,1.68,169,1,purple
11101,14693952,40.7619,-73.995,79,211,1,241,6.05,132,2,dark purple
